gpt55_verifier_threshold,solver_model,solver,completed_3_rollout_jobs,pass_at_k_rate,all_3_success_rate,mixed_rate,all_3_fail_rate,mean_rollout_success_rate
0.5,anthropic/claude-sonnet-4.6,Sonnet 4.6,49,0.5714285714285714,0.5510204081632653,0.02040816326530612,0.42857142857142855,0.5578231292517006
0.5,openai/gpt-5.5,GPT-5.5,50,0.58,0.52,0.06,0.42,0.5466666666666666
0.5,anthropic/claude-opus-4.7,Opus 4.7,49,0.5918367346938775,0.4489795918367347,0.14285714285714285,0.40816326530612246,0.5238095238095237
0.5,openai/gpt-4o-mini,GPT-4o-mini,50,0.38,0.22,0.16,0.62,0.30666666666666664
0.6,anthropic/claude-sonnet-4.6,Sonnet 4.6,47,0.5957446808510638,0.574468085106383,0.02127659574468085,0.40425531914893614,0.5815602836879432
0.6,openai/gpt-5.5,GPT-5.5,47,0.6170212765957447,0.5531914893617021,0.06382978723404255,0.3829787234042553,0.5815602836879432
0.6,anthropic/claude-opus-4.7,Opus 4.7,47,0.6170212765957447,0.46808510638297873,0.14893617021276595,0.3829787234042553,0.5460992907801417
0.6,openai/gpt-4o-mini,GPT-4o-mini,47,0.40425531914893614,0.23404255319148937,0.1702127659574468,0.5957446808510638,0.326241134751773
0.7,anthropic/claude-sonnet-4.6,Sonnet 4.6,41,0.5853658536585366,0.5609756097560976,0.024390243902439025,0.4146341463414634,0.5691056910569106
0.7,openai/gpt-5.5,GPT-5.5,41,0.6097560975609756,0.5365853658536586,0.07317073170731707,0.3902439024390244,0.5691056910569106
0.7,anthropic/claude-opus-4.7,Opus 4.7,41,0.6097560975609756,0.43902439024390244,0.17073170731707318,0.3902439024390244,0.5284552845528455
0.7,openai/gpt-4o-mini,GPT-4o-mini,41,0.36585365853658536,0.21951219512195122,0.14634146341463414,0.6341463414634146,0.30081300813008127
0.8,anthropic/claude-sonnet-4.6,Sonnet 4.6,23,0.7391304347826086,0.6956521739130435,0.043478260869565216,0.2608695652173913,0.710144927536232
0.8,openai/gpt-5.5,GPT-5.5,23,0.7391304347826086,0.6521739130434783,0.08695652173913043,0.2608695652173913,0.6956521739130435
0.8,anthropic/claude-opus-4.7,Opus 4.7,23,0.7391304347826086,0.4782608695652174,0.2608695652173913,0.2608695652173913,0.6231884057971014
0.8,openai/gpt-4o-mini,GPT-4o-mini,23,0.4782608695652174,0.2608695652173913,0.21739130434782608,0.5217391304347826,0.391304347826087
0.85,anthropic/claude-sonnet-4.6,Sonnet 4.6,11,0.8181818181818182,0.7272727272727273,0.09090909090909091,0.18181818181818182,0.7575757575757575
0.85,openai/gpt-5.5,GPT-5.5,11,0.7272727272727273,0.6363636363636364,0.09090909090909091,0.2727272727272727,0.6969696969696969
0.85,anthropic/claude-opus-4.7,Opus 4.7,11,0.7272727272727273,0.5454545454545454,0.18181818181818182,0.2727272727272727,0.6666666666666666
0.85,openai/gpt-4o-mini,GPT-4o-mini,11,0.5454545454545454,0.36363636363636365,0.18181818181818182,0.45454545454545453,0.4848484848484848
0.9,anthropic/claude-sonnet-4.6,Sonnet 4.6,4,0.75,0.5,0.25,0.25,0.5833333333333333
0.9,openai/gpt-5.5,GPT-5.5,4,0.5,0.5,0.0,0.5,0.5
0.9,anthropic/claude-opus-4.7,Opus 4.7,4,0.5,0.25,0.25,0.5,0.41666666666666663
0.9,openai/gpt-4o-mini,GPT-4o-mini,4,0.5,0.25,0.25,0.5,0.41666666666666663
